Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
10/30/2021,43,TX,44779195,34509513,119015,33678095,17794025,15467426,1448444,,
10/30/2021,43,NJ,15160695,12301100,138492,12664320,6662856,5892769,526010,,
12/27/2020,53,PA,291825,84826,663,0,0,0,,,
12/27/2020,53,AK,45250,11427,1562,0,0,0,,,
12/16/2020,51,WI,49725,192,3,0,0,0,,,
12/27/2020,53,IN,164450,33635,500,0,0,0,,,
10/30/2021,43,LA,6233640,4866322,104679,4812678,2502587,2215113,229684,,
12/27/2020,53,WA,221150,42741,561,0,0,0,,,
12/27/2020,53,WY,16725,2942,508,0,0,0,,,
12/27/2020,53,VA,259600,39925,468,0,0,0,,,
12/27/2020,53,OH,359850,50609,433,0,0,0,,,
10/30/2021,43,AL,7264740,4866607,99254,4958601,2672040,2194074,211878,,
10/30/2021,43,SD,1348745,1027480,116144,1033578,548914,465482,50015,,
10/30/2021,43,MP,87480,72736,127872,72817,36406,34845,2377,,
12/27/2020,53,MA,211350,54860,796,0,0,0,,,
12/27/2020,53,MI,280875,38251,383,0,0,0,,,
10/30/2021,43,NE,2833280,2335904,120755,2343741,1179622,1087752,123182,,
12/27/2020,53,HI,38850,13934,984,0,0,0,,,
12/27/2020,53,DE,31325,7287,748,0,0,0,,,
12/27/2020,53,VT,22125,8120,1301,0,0,0,,,
12/27/2020,53,UT,83225,16993,530,0,0,0,,,
12/27/2020,53,ND,21975,12906,1694,0,0,0,,,
12/27/2020,53,CA,1069225,248743,630,0,0,0,,,
12/27/2020,53,NM,59725,22770,1086,0,0,0,,,
12/27/2020,53,ME,44675,16356,1217,0,0,0,,,
10/30/2021,43,FL,35515415,28505389,132721,28238601,14829957,12817639,1238239,,
12/27/2020,53,US,9584275,2252406,678,0,0,0,,,
12/27/2020,53,ID,47375,0,0,0,0,0,,,
12/27/2020,53,MO,152425,48988,798,0,0,0,,,
12/27/2020,53,AR,88775,24871,824,0,0,0,,,
12/27/2020,53,MT,33900,13127,1228,0,0,0,,,
12/27/2020,53,CO,172325,63392,1101,0,0,0,,,
12/27/2020,53,GA,301725,24173,228,0,0,0,,,
12/26/2020,52,GA,301725,24173,228,0,0,0,,,
12/26/2020,52,DC,23400,9171,1299,0,0,0,,,
12/26/2020,52,ND,21975,12906,1694,0,0,0,,,
12/26/2020,52,LTC,1467550,52173,0,0,0,0,,,
12/26/2020,52,ME,44675,15246,1134,0,0,0,,,
12/26/2020,52,UT,83225,16694,521,0,0,0,,,
12/26/2020,52,IA,82350,24751,784,0,0,0,,,
12/26/2020,52,US,9584275,2190414,660,0,0,0,,,
12/26/2020,52,CO,172325,63328,1100,0,0,0,,,
10/30/2021,43,HI,2572790,1977336,139655,1998311,1114978,846075,72532,,
12/26/2020,52,KY,120725,22016,493,0,0,0,,,
10/30/2021,43,NM,3259655,2819865,134482,2910207,1511520,1301847,160997,,
12/26/2020,52,HI,38850,13664,965,0,0,0,,,
10/30/2021,43,IL,19517695,16098900,127045,16283374,8294625,7642317,746577,,
10/30/2021,43,PA,21157695,17593729,137430,17601619,9961778,7746462,467947,,
12/26/2020,52,CT,116200,32310,906,0,0,0,,,
10/30/2021,43,TN,9401140,7457053,109194,7311026,3723870,3254481,399343,,
12/16/2020,51,GU,11700,0,0,0,0,0,,,
12/26/2020,52,WA,221150,42229,555,0,0,0,,,
12/26/2020,52,MP,6250,741,1303,0,0,0,,,
10/30/2021,43,DC,1318905,1068582,151411,973420,525432,440542,30961,,
12/26/2020,52,TX,659025,264819,913,0,0,0,,,
12/26/2020,52,MH,1200,0,0,0,0,0,,,
12/16/2020,51,ME,5850,0,0,0,0,0,,,
12/26/2020,52,MD,184250,18928,313,0,0,0,,,
12/26/2020,52,DD2,147300,34697,0,0,0,0,,,
12/16/2020,51,WY,4875,0,0,0,0,0,,,
12/26/2020,52,IL,231250,97374,768,0,0,0,,,
12/26/2020,52,NV,81100,20163,655,0,0,0,,,
12/26/2020,52,AL,142725,16366,334,0,0,0,,,
10/30/2021,43,KS,4259115,3333130,114410,3434757,1819477,1548933,146304,,
10/30/2021,43,IH2,2231915,1730146,83068,1730146,929358,770718,55170,,
05/10/2023,19,NE,5481710,3822190,197590,3839138,1425923,1286860,718168,,348027
10/30/2021,43,WV,3176695,1590407,88743,1615726,877316,735285,44598,,
10/30/2021,43,UT,4434510,3699220,115386,3666341,1959857,1717730,121646,,
